2026-03-06T20:58:13: 2026-03-06 20:58:13 | INFO    | 🔄 Entity дубликат: Трамп: ведущие военные концерны США согласились на
2026-03-06T20:58:14: 2026-03-06 20:58:13 | INFO    | 🔄 Entity дубликат: Российский боец рассказал, чем займется после возв
2026-03-06T20:58:16: 2026-03-06 20:58:16 | INFO    | 🔄 Entity дубликат: Путин и Пезешкиан обсудили по телефону ситуацию во
2026-03-06T20:58:16: 2026-03-06 20:58:16 | INFO    | 🔄 Fuzzy дубликат (70%): 'В Калужской области отменили беспилотную опасность' ~ '<b>🏛️В Орловской области объявили ракетную опаснос'
2026-03-06T20:58:16: 2026-03-06 20:58:16 | INFO    | 🔄 ОТКЛОНЁН: urgent_news только что опубликовал (5 мин): В Калужской области отменили беспилотную опасность
2026-03-06T20:58:16: 2026-03-06 20:58:16 | INFO    | 🔄 Entity дубликат: В Белом доме ожидают, что операция против Ирана пр
2026-03-06T20:58:16: 2026-03-06 20:58:16 | INFO    | ✓ Ключевые слова (2, HOT:1): Суд арестовал экс-продюсера Газманова по делу о нарушении ав
2026-03-06T20:58:21: 2026-03-06 20:58:21 | INFO    | 🔄 Extended fuzzy дубликат (65%): 'Суд арестовал экс-продюсера Газманова по' ~ 'В Москве арестовали продюсера Газманова '
2026-03-06T20:58:21: 2026-03-06 20:58:21 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:58:21: 2026-03-06 20:58:21 | INFO    | ✅ LLM одобрил: Бывший президент США признался в воровстве из закусочных
2026-03-06T20:58:21: 2026-03-06 20:58:21 | INFO    | ✨ КАНДИДАТ #1: Бывший президент США признался в воровстве из закусочных
2026-03-06T20:58:21: 2026-03-06 20:58:21 | INFO    | 🔄 HOT-дубликат (extended): Суд арестовал экс-продюсера Газманова по делу о нарушении ав
